,% difference,area,new price,old price,price difference,property area,rooms,type,zip code
58,-6 %,57 m²,2.395.000,2.250.000,-145.000,0 m²,2, Ejerlejlighed,2100 København Ø
59,-6 %,69 m²,3.395.000,3.195.000,-200.000,0 m²,3, Ejerlejlighed,2100 København Ø
60,-3 %,141 m²,8.995.000,8.750.000,-245.000,0 m²,4, Ejerlejlighed,2150 Nordhavn
61,-6 %,253 m²,8.995.000,8.500.000,-495.000,0 m²,6, Ejerlejlighed,2200 København N
62,-3 %,50 m²,2.995.000,2.895.000,-100.000,0 m²,2, Ejerlejlighed,2200 København N
63,-3 %,52 m²,1.849.000,1.799.000,-50.000,0 m²,2, Ejerlejlighed,2200 København N
64,-4 %,90 m²,5.495.000,5.250.000,-245.000,0 m²,4, Ejerlejlighed,2200 København N
65,-2 %,94 m²,4.895.000,4.775.000,-120.000,0 m²,4, Ejerlejlighed,2200 København N
66,-5 %,107 m²,6.295.000,5.998.000,-297.000,0 m²,5, Ejerlejlighed,2200 København N
67,-5 %,51 m²,2.095.000,1.995.000,-100.000,0 m²,2, Ejerlejlighed,2200 København N
68,-3 %,68 m²,3.395.000,3.295.000,-100.000,0 m²,3, Ejerlejlighed,2200 København N
69,-3 %,70 m²,2.475.000,2.395.000,-80.000,0 m²,3, Ejerlejlighed,2200 København N
70,-3 %,74 m²,3.495.000,3.395.000,-100.000,0 m²,3, Ejerlejlighed,2200 København N
71,-4 %,140 m²,12.500.000,11.995.000,-505.000,0 m²,4, Ejerlejlighed,2300 København S
72,-3 %,38 m²,1.445.000,1.395.000,-50.000,0 m²,1, Ejerlejlighed,2300 København S
73,-5 %,56 m²,1.995.000,1.899.000,-96.000,0 m²,2, Ejerlejlighed,2300 København S
74,-3 %,90 m²,4.345.000,4.195.000,-150.000,628 m²,4, Villa,2300 København S
75,-6 %,51 m²,1.745.000,1.645.000,-100.000,0 m²,2, Ejerlejlighed,2300 København S
76,-1 %,193 m²,6.899.000,6.799.000,-100.000,547 m²,8, Villa,2300 København S
77,-3 %,182 m²,7.995.000,7.795.000,-200.000,473 m²,7, Villa,2300 København S
78,-3 %,54 m²,2.298.000,2.238.000,-60.000,0 m²,2, Ejerlejlighed,2300 København S
