,% difference,area,new price,old price,price difference,property area,rooms,type,zip code
265,-5 %,145 m²,4.995.000,4.750.000,-245.000,1.262 m²,4, Villa,3100 Hornbæk
266,-4 %,92 m²,2.295.000,2.195.000,-100.000,679 m²,3, Fritidshus,3100 Hornbæk
267,-7 %,160 m²,6.995.000,6.495.000,-500.000,1.202 m²,4, Fritidshus,3100 Hornbæk
268,-2 %,107 m²,2.200.000,2.150.000,-50.000,1.000 m²,5, Villa,3100 Hornbæk
269,-3 %,93 m²,1.975.000,1.925.000,-50.000,450 m²,4, Rækkehus,3140 Ålsgårde
270,-6 %,231 m²,3.995.000,3.750.000,-245.000,2.587 m²,5, Villa,3200 Helsinge
271,-20 %,55 m²,995.000,795.000,-200.000,1.628 m²,3, Fritidshus,3210 Vejby
272,-6 %,56 m²,795.000,749.000,-46.000,1.285 m²,3, Fritidshus,3230 Græsted
273,-4 %,150 m²,2.595.000,2.495.000,-100.000,3.065 m²,6, Villa,3230 Græsted
274,-6 %,140 m²,1.885.000,1.765.000,-120.000,1.581 m²,4, Villa,3230 Græsted
275,-5 %,96 m²,2.095.000,1.995.000,-100.000,1.102 m²,5, Fritidshus,3250 Gilleleje
276,-5 %,116 m²,1.995.000,1.895.000,-100.000,1.814 m²,5, Fritidshus,3250 Gilleleje
277,-5 %,125 m²,2.095.000,1.995.000,-100.000,850 m²,5, Villa,3300 Frederiksværk
278,-1 %,87 m²,1.695.000,1.680.000,-15.000,800 m²,3, Villa,3300 Frederiksværk
279,-5 %,227 m²,3.295.000,3.145.000,-150.000,1.946 m²,6, Villa,3300 Frederiksværk
280,-6 %,164 m²,3.075.000,2.895.000,-180.000,784 m²,4, Villa,3320 Skævinge
281,-5 %,45 m²,1.045.000,995.000,-50.000,1.854 m²,3, Fritidshus,3370 Melby
282,-6 %,113 m²,1.595.000,1.495.000,-100.000,1.627 m²,4, Fritidshus,3390 Hundested
283,-7 %,107 m²,1.495.000,1.395.000,-100.000,655 m²,3, Villa,3390 Hundested
284,-2 %,75 m²,1.395.000,1.370.000,-25.000,0 m²,2, Ejerlejlighed,3400 Hillerød
285,-5 %,276 m²,5.495.000,5.195.000,-300.000,1.200 m²,8, Villa,3400 Hillerød
286,-4 %,145 m²,4.695.000,4.495.000,-200.000,0 m²,4, Ejerlejlighed,3400 Hillerød
287,-4 %,112 m²,2.595.000,2.495.000,-100.000,808 m²,4, Villa,3400 Hillerød
288,-4 %,127 m²,3.995.000,3.845.000,-150.000,1.108 m²,4, Villa,3400 Hillerød
289,-5 %,114 m²,3.245.000,3.095.000,-150.000,141 m²,4, Rækkehus,3400 Hillerød
290,-10 %,56 m²,1.778.000,1.595.000,-183.000,0 m²,2, Ejerlejlighed,3400 Hillerød
291,-2 %,115 m²,2.695.000,2.645.000,-50.000,892 m²,4, Villa,3400 Hillerød
292,-7 %,150 m²,4.195.000,3.895.000,-300.000,528 m²,5, Villa,3400 Hillerød
293,-4 %,135 m²,2.995.000,2.885.000,-110.000,240 m²,5, Rækkehus,3450 Allerød
294,-7 %,149 m²,4.295.000,3.995.000,-300.000,630 m²,4, Villa,3450 Allerød
295,-4 %,180 m²,5.695.000,5.495.000,-200.000,986 m²,5, Villa,3460 Birkerød
296,-8 %,161 m²,5.995.000,5.500.000,-495.000,229.380 m²,6, Landejendom,3480 Fredensborg
297,-5 %,153 m²,3.425.000,3.245.000,-180.000,714 m²,6, Villa,3480 Fredensborg
298,-3 %,386 m²,7.200.000,6.995.000,-205.000,73.972 m²,10, Landejendom,3480 Fredensborg
299,-5 %,554 m²,9.995.000,9.495.000,-500.000,74.672 m²,13, Landejendom,3480 Fredensborg
300,-14 %,0 m²,1.395.000,1.195.000,-200.000,860 m²,0, Helårsgrund,3480 Fredensborg
301,-14 %,0 m²,1.395.000,1.195.000,-200.000,839 m²,0, Helårsgrund,3480 Fredensborg
302,-5 %,210 m²,4.750.000,4.495.000,-255.000,1.654 m²,9, Villa,3500 Værløse
303,-5 %,170 m²,4.350.000,4.150.000,-200.000,800 m²,4, Villa,3520 Farum
304,-5 %,75 m²,1.675.000,1.595.000,-80.000,0 m²,3, Ejerlejlighed,3520 Farum
305,-3 %,192 m²,3.995.000,3.870.000,-125.000,432 m²,4, Villa,3520 Farum
306,-4 %,96 m²,2.495.000,2.395.000,-100.000,121 m²,3, Rækkehus,3540 Lynge
307,-2 %,124 m²,2.295.000,2.250.000,-45.000,236 m²,5, Rækkehus,3550 Slangerup
308,-3 %,212 m²,3.495.000,3.395.000,-100.000,556 m²,6, Villa,3550 Slangerup
309,-2 %,131 m²,4.275.000,4.195.000,-80.000,138 m²,4, Rækkehus,3600 Frederikssund
310,-1 %,194 m²,4.150.000,4.095.000,-55.000,786 m²,7, Villa,3600 Frederikssund
311,-5 %,145 m²,2.095.000,1.995.000,-100.000,981 m²,6, Villa,3600 Frederikssund
312,-3 %,183 m²,3.295.000,3.195.000,-100.000,889 m²,6, Villa,3600 Frederikssund
313,-5 %,172 m²,3.125.000,2.975.000,-150.000,1.058 m²,5, Villa,3600 Frederikssund
314,-3 %,170 m²,1.545.000,1.495.000,-50.000,1.610 m²,5, Villa,3630 Jægerspris
315,-4 %,310 m²,6.200.000,5.950.000,-250.000,2.030 m²,7, Villa,3630 Jægerspris
316,-5 %,106 m²,1.575.000,1.495.000,-80.000,1.068 m²,4, Fritidshus,3630 Jægerspris
317,-3 %,217 m²,3.995.000,3.895.000,-100.000,1.931 m²,7, Villa,3650 Ølstykke
318,-3 %,110 m²,3.195.000,3.095.000,-100.000,188 m²,3, Villa,3650 Ølstykke
319,-3 %,147 m²,4.295.000,4.145.000,-150.000,1.430 m²,6, Villa,3660 Stenløse
320,-3 %,181 m²,925.000,895.000,-30.000,391 m²,5, Rækkehus,3700 Rønne
321,-12 %,238 m²,2.850.000,2.495.000,-355.000,108.730 m²,7, Villa,3700 Rønne
322,-3 %,141 m²,1.295.000,1.250.000,-45.000,50.854 m²,5, Villa,3700 Rønne
323,-14 %,179 m²,695.000,595.000,-100.000,5.627 m²,6, Villa,3730 Nexø
324,-1 %,48 m²,525.000,520.000,-5.000,27.544 m²,3, Fritidshus,3770 Allinge
325,-6 %,172 m²,3.395.000,3.195.000,-200.000,1.858 m²,5, Villa,4000 Roskilde
326,-2 %,201 m²,2.895.000,2.850.000,-45.000,645 m²,7, Villa,4000 Roskilde
327,-10 %,99 m²,1.495.000,1.350.000,-145.000,1.256 m²,5, Villa,4000 Roskilde
328,-17 %,60 m²,2.150.000,1.775.000,-375.000,754 m²,3, Villa,4000 Roskilde
329,-2 %,129 m²,2.750.000,2.695.000,-55.000,865 m²,4, Villa,4000 Roskilde
330,-3 %,103 m²,2.775.000,2.700.000,-75.000,0 m²,4, Ejerlejlighed,4000 Roskilde
331,-7 %,171 m²,3.795.000,3.545.000,-250.000,881 m²,7, Villa,4000 Roskilde
332,-2 %,81 m²,1.895.000,1.850.000,-45.000,0 m²,3, Ejerlejlighed,4000 Roskilde
333,-3 %,81 m²,1.850.000,1.795.000,-55.000,361 m²,3, Rækkehus,4000 Roskilde
334,-2 %,116 m²,2.495.000,2.445.000,-50.000,1.200 m²,4, Villa,4040 Jyllinge
335,-6 %,101 m²,1.745.000,1.645.000,-100.000,878 m²,4, Villa,4040 Jyllinge
336,-5 %,120 m²,2.895.000,2.750.000,-145.000,873 m²,4, Villa,4040 Jyllinge
337,-5 %,159 m²,3.150.000,2.995.000,-155.000,800 m²,4, Villa,4040 Jyllinge
338,-3 %,175 m²,5.375.000,5.195.000,-180.000,1.200 m²,5, Villa,4040 Jyllinge
339,-7 %,124 m²,1.925.000,1.795.000,-130.000,925 m²,7, Villa,4050 Skibby
340,-6 %,140 m²,1.775.000,1.675.000,-100.000,797 m²,4, Villa,4050 Skibby
341,-2 %,236 m²,4.595.000,4.500.000,-95.000,2.000 m²,8, Villa,4050 Skibby
342,-13 %,57 m²,1.095.000,949.000,-146.000,1.179 m²,3, Fritidshus,4060 Kirke Såby
343,-6 %,141 m²,1.596.000,1.495.000,-101.000,769 m²,5, Villa,4060 Kirke Såby
344,-5 %,124 m²,2.095.000,2.000.000,-95.000,634 m²,4, Villa,4100 Ringsted
345,-4 %,361 m²,4.975.000,4.775.000,-200.000,89.310 m²,8, Landejendom,4100 Ringsted
346,-5 %,200 m²,10.500.000,9.995.000,-505.000,4.800 m²,22, Villa,4100 Ringsted
347,-16 %,0 m²,350.000,295.000,-55.000,1.035 m²,0, Helårsgrund,4100 Ringsted
348,-5 %,142 m²,2.095.000,1.995.000,-100.000,738 m²,4, Villa,4100 Ringsted
349,-5 %,176 m²,4.495.000,4.250.000,-245.000,58.582 m²,10, Landejendom,4100 Ringsted
350,-3 %,109 m²,1.775.000,1.725.000,-50.000,402 m²,4, Rækkehus,4100 Ringsted
351,-8 %,153 m²,1.245.000,1.150.000,-95.000,690 m²,5, Villa,4171 Glumsø
352,-8 %,96 m²,1.195.000,1.095.000,-100.000,642 m²,3, Villa,4173 Fjenneslev
353,-22 %,205 m²,1.395.000,1.095.000,-300.000,20.051 m²,6, Villa,4173 Fjenneslev
354,-2 %,101 m²,1.298.000,1.275.000,-23.000,1.039 m²,2, Villa,4173 Fjenneslev
355,-3 %,167 m²,3.995.000,3.895.000,-100.000,451 m²,6, Villa,4180 Sorø
356,-3 %,200 m²,2.950.000,2.850.000,-100.000,23.783 m²,4, Landejendom,4180 Sorø
357,-7 %,172 m²,1.395.000,1.295.000,-100.000,880 m²,4, Villa,4180 Sorø
358,-3 %,180 m²,2.895.000,2.795.000,-100.000,1.168 m²,5, Villa,4180 Sorø
359,-10 %,171 m²,2.995.000,2.695.000,-300.000,14.140 m²,6, Villa,4180 Sorø
360,-5 %,222 m²,1.895.000,1.795.000,-100.000,3.939 m²,5, Villa,4190 Munke Bjergby
361,-8 %,125 m²,2.495.000,2.295.000,-200.000,1.040 m²,3, Fritidshus,4200 Slagelse
362,-21 %,0 m²,375.000,295.000,-80.000,1.213 m²,0, Fritidsgrund,4200 Slagelse
363,-8 %,113 m²,1.295.000,1.195.000,-100.000,763 m²,4, Villa,4200 Slagelse
364,-5 %,141 m²,2.495.000,2.375.000,-120.000,405 m²,5, Villa,4200 Slagelse
365,-8 %,145 m²,1.495.000,1.379.000,-116.000,9.631 m²,5, Villa,4200 Slagelse
366,-4 %,137 m²,1.745.000,1.675.000,-70.000,845 m²,4, Villa,4200 Slagelse
367,-3 %,157 m²,1.789.000,1.734.000,-55.000,1.379 m²,4, Villa,4200 Slagelse
368,-22 %,79 m²,445.000,345.000,-100.000,351 m²,3, Villa,4220 Korsør
369,-7 %,183 m²,1.599.000,1.495.000,-104.000,0 m²,5, Ejerlejlighed,4230 Skælskør
370,-7 %,211 m²,1.395.000,1.295.000,-100.000,15.077 m²,7, Villa,4230 Skælskør
371,-5 %,104 m²,995.000,950.000,-45.000,14.975 m²,4, Villa,4241 Vemmelev
372,-15 %,268 m²,1.995.000,1.695.000,-300.000,1.532 m²,6, Villa,4262 Sandved
373,-4 %,150 m²,1.950.000,1.865.000,-85.000,21.787 m²,5, Landejendom,4270 Høng
374,-6 %,180 m²,1.550.000,1.450.000,-100.000,946 m²,5, Villa,4270 Høng
375,-7 %,130 m²,1.395.000,1.300.000,-95.000,910 m²,5, Villa,4281 Gørlev
376,-9 %,95 m²,990.000,900.000,-90.000,0 m²,3, Fritidshus,4281 Gørlev
377,-25 %,120 m²,395.000,295.000,-100.000,250 m²,7, Villa,4281 Gørlev
378,-2 %,151 m²,2.045.000,1.995.000,-50.000,32.126 m²,4, Villa,4291 Ruds Vedby
379,-4 %,111 m²,1.145.000,1.095.000,-50.000,953 m²,3, Villa,4293 Dianalund
380,-3 %,85 m²,670.000,650.000,-20.000,1.421 m²,4, Fritidshus,4300 Holbæk
381,-9 %,132 m²,2.750.000,2.495.000,-255.000,473 m²,5, Villa,4300 Holbæk
382,-7 %,0 m²,750.000,700.000,-50.000,3.127 m²,0, Helårsgrund,4300 Holbæk
383,-4 %,54 m²,825.000,795.000,-30.000,1.200 m²,3, Fritidshus,4300 Holbæk
384,-10 %,54 m²,495.000,445.000,-50.000,1.434 m²,3, Fritidshus,4300 Holbæk
385,-7 %,85 m²,745.000,695.000,-50.000,1.235 m²,4, Fritidshus,4300 Holbæk
386,-9 %,191 m²,2.195.000,1.995.000,-200.000,1.784 m²,6, Villa,4300 Holbæk
387,-5 %,102 m²,3.145.000,2.995.000,-150.000,642 m²,3, Villa,4300 Holbæk
388,-5 %,193 m²,1.995.000,1.895.000,-100.000,927 m²,5, Villa,4300 Holbæk
389,-7 %,58 m²,695.000,645.000,-50.000,1.528 m²,3, Fritidshus,4300 Holbæk
390,-6 %,51 m²,550.000,515.000,-35.000,1.242 m²,3, Fritidshus,4305 Orø
391,-3 %,167 m²,1.895.000,1.845.000,-50.000,864 m²,7, Villa,4340 Tølløse
392,-1 %,520 m²,4.195.000,4.145.000,-50.000,7.336 m²,9, Villa,4340 Tølløse
393,-3 %,96 m²,795.000,775.000,-20.000,7.041 m²,3, Landejendom,4350 Ugerløse
394,-2 %,195 m²,1.785.000,1.749.000,-36.000,1.045 m²,7, Villa,4370 St. Merløse
395,-7 %,171 m²,2.695.000,2.495.000,-200.000,812 m²,6, Villa,4390 Vipperød
396,-5 %,163 m²,2.790.000,2.650.000,-140.000,11.099 m²,6, Villa,4400 Kalundborg
397,-7 %,29 m²,295.000,275.000,-20.000,1.184 m²,2, Fritidshus,4400 Kalundborg
398,-10 %,180 m²,1.995.000,1.795.000,-200.000,21.630 m²,6, Landejendom,4400 Kalundborg
399,-4 %,154 m²,2.595.000,2.495.000,-100.000,1.082 m²,5, Villa,4400 Kalundborg
400,-5 %,161 m²,3.975.000,3.775.000,-200.000,2.680 m²,4, Fritidshus,4400 Kalundborg
401,-10 %,46 m²,498.000,450.000,-48.000,1.200 m²,3, Fritidshus,4400 Kalundborg
402,-8 %,118 m²,2.175.000,1.995.000,-180.000,475 m²,4, Villa,4400 Kalundborg
403,-5 %,167 m²,1.850.000,1.750.000,-100.000,1.448 m²,6, Villa,4400 Kalundborg
404,-9 %,201 m²,3.295.000,2.995.000,-300.000,61.255 m²,4, Landejendom,4400 Kalundborg
405,-20 %,0 m²,225.000,180.000,-45.000,1.114 m²,0, Fritidsgrund,4400 Kalundborg
406,-8 %,190 m²,1.795.000,1.650.000,-145.000,2.174 m²,7, Villa,4460 Snertinge
407,-6 %,81 m²,850.000,795.000,-55.000,1.313 m²,3, Fritidshus,4500 Nykøbing Sj.
408,-5 %,95 m²,550.000,525.000,-25.000,2.358 m²,3, Fritidshus,4500 Nykøbing Sj.
409,-17 %,167 m²,1.195.000,995.000,-200.000,764 m²,5, Villa,4534 Hørve
410,-7 %,190 m²,7.500.000,6.995.000,-505.000,19.743 m²,5, Fritidshus,4540 Fårevejle
411,-7 %,190 m²,7.500.000,6.995.000,-505.000,19.743 m²,5, Villa,4540 Fårevejle
412,-12 %,50 m²,225.000,199.000,-26.000,1.543 m²,3, Fritidshus,4550 Asnæs
413,-7 %,88 m²,1.395.000,1.295.000,-100.000,1.361 m²,4, Fritidshus,4550 Asnæs
414,-4 %,152 m²,2.250.000,2.150.000,-100.000,879 m²,5, Villa,4550 Asnæs
415,-6 %,99 m²,1.595.000,1.495.000,-100.000,1.379 m²,3, Fritidshus,4560 Vig
416,-6 %,73 m²,895.000,845.000,-50.000,1.103 m²,3, Fritidshus,4560 Vig
417,-12 %,0 m²,245.000,215.000,-30.000,1.100 m²,0, Fritidsgrund,4560 Vig
418,-8 %,39 m²,645.000,595.000,-50.000,1.348 m²,2, Fritidshus,4560 Vig
419,-7 %,134 m²,2.150.000,1.995.000,-155.000,180.406 m²,0, Landejendom,4560 Vig
420,-4 %,71 m²,570.000,550.000,-20.000,1.074 m²,3, Fritidshus,4571 Grevinge
421,-28 %,132 m²,745.000,535.000,-210.000,932 m²,5, Villa,4571 Grevinge
422,-8 %,46 m²,645.000,595.000,-50.000,1.208 m²,3, Fritidshus,4573 Højby
423,-7 %,58 m²,2.135.000,1.995.000,-140.000,2.413 m²,2, Fritidshus,4581 Rørvig
424,-23 %,92 m²,650.000,500.000,-150.000,2.421 m²,4, Villa,4581 Rørvig
425,-7 %,64 m²,595.000,555.000,-40.000,1.256 m²,4, Fritidshus,4583 Sjællands Odde
426,-10 %,0 m²,195.000,175.000,-20.000,1.362 m²,0, Fritidsgrund,4583 Sjællands Odde
427,-10 %,68 m²,995.000,895.000,-100.000,1.230 m²,4, Fritidshus,4583 Sjællands Odde
428,-8 %,18 m²,250.000,230.000,-20.000,1.200 m²,1, Fritidshus,4583 Sjællands Odde
429,-7 %,132 m²,750.000,695.000,-55.000,712 m²,4, Villa,4583 Sjællands Odde
430,-6 %,49 m²,795.000,745.000,-50.000,1.078 m²,3, Fritidshus,4591 Føllenslev
431,-2 %,181 m²,2.495.000,2.445.000,-50.000,66.537 m²,5, Landejendom,4593 Eskebjerg
432,-8 %,49 m²,545.000,499.000,-46.000,1.088 m²,3, Fritidshus,4593 Eskebjerg
433,-3 %,91 m²,3.195.000,3.095.000,-100.000,1.356 m²,3, Ejerlejlighed,4600 Køge
434,-5 %,51 m²,1.095.000,1.045.000,-50.000,571 m²,2, Villalejlighed,4600 Køge
435,-5 %,129 m²,1.995.000,1.895.000,-100.000,1.213 m²,4, Villa,4600 Køge
436,-5 %,110 m²,1.895.000,1.795.000,-100.000,788 m²,4, Villa,4600 Køge
437,-2 %,98 m²,2.175.000,2.125.000,-50.000,0 m²,3, Ejerlejlighed,4600 Køge
438,-3 %,192 m²,2.875.000,2.795.000,-80.000,866 m²,5, Villa,4621 Gadstrup
439,-9 %,0 m²,1.095.000,995.000,-100.000,1.000 m²,0, Helårsgrund,4622 Havdrup
440,-5 %,100 m²,1.995.000,1.895.000,-100.000,703 m²,5, Villa,4623 Lille Skensved
441,-14 %,122 m²,695.000,595.000,-100.000,2.483 m²,3, Villa,4652 Hårlev
442,-1 %,152 m²,1.895.000,1.870.000,-25.000,1.334 m²,6, Villa,4653 Karise
443,-4 %,158 m²,1.345.000,1.295.000,-50.000,771 m²,5, Villa,4654 Faxe Ladeplads
444,-13 %,270 m²,2.295.000,1.995.000,-300.000,2.323 m²,1, Villa,4660 St. Heddinge
445,-4 %,115 m²,1.350.000,1.295.000,-55.000,863 m²,5, Villa,4660 St. Heddinge
446,-6 %,60 m²,1.795.000,1.695.000,-100.000,1.027 m²,4, Fritidshus,4671 Strøby
447,-10 %,43 m²,829.000,749.000,-80.000,1.096 m²,3, Fritidshus,4673 Rødvig Stevns
448,-4 %,185 m²,2.749.450,2.650.000,-99.450,8.470 m²,9, Villalejlighed,4681 Herfølge
449,-6 %,132 m²,2.250.000,2.125.000,-125.000,842 m²,4, Villa,4681 Herfølge
450,-11 %,104 m²,1.100.000,975.000,-125.000,958 m²,2, Villa,4684 Holmegaard
451,-3 %,127 m²,1.498.000,1.455.000,-43.000,768 m²,4, Villa,4684 Holmegaard
452,-1 %,169 m²,2.390.000,2.375.000,-15.000,47.794 m²,5, Landejendom,4690 Haslev
453,-4 %,160 m²,2.175.000,2.095.000,-80.000,855 m²,5, Villa,4690 Haslev
454,-9 %,147 m²,1.645.000,1.495.000,-150.000,817 m²,4, Villa,4700 Næstved
455,-9 %,223 m²,2.195.000,1.995.000,-200.000,452 m²,7, Villa,4700 Næstved
456,-4 %,187 m²,2.495.000,2.395.000,-100.000,921 m²,6, Villa,4700 Næstved
457,-4 %,59 m²,725.000,695.000,-30.000,0 m²,2, Ejerlejlighed,4700 Næstved
458,-7 %,107 m²,1.495.000,1.395.000,-100.000,300 m²,4, Villa,4700 Næstved
459,-2 %,394 m²,3.750.000,3.675.000,-75.000,2.249 m²,12, Villa,4720 Præstø
460,-3 %,200 m²,1.745.000,1.695.000,-50.000,1.076 m²,5, Villa,4735 Mern
461,-6 %,109 m²,1.550.000,1.450.000,-100.000,875 m²,4, Villa,4736 Karrebæksminde
462,-2 %,67 m²,1.190.000,1.170.000,-20.000,703 m²,4, Fritidshus,4736 Karrebæksminde
463,-4 %,60 m²,485.000,465.000,-20.000,1.140 m²,4, Fritidshus,4760 Vordingborg
464,-12 %,98 m²,1.695.000,1.495.000,-200.000,1.695 m²,3, Villa,4760 Vordingborg
465,-10 %,111 m²,995.000,895.000,-100.000,730 m²,4, Villa,4760 Vordingborg
466,-7 %,121 m²,995.000,925.000,-70.000,827 m²,6, Villa,4780 Stege
467,-17 %,94 m²,450.000,375.000,-75.000,770 m²,4, Villa,4780 Stege
468,-5 %,258 m²,3.995.000,3.795.000,-200.000,45.097 m²,7, Landejendom,4780 Stege
469,-8 %,83 m²,1.595.000,1.475.000,-120.000,1.003 m²,4, Fritidshus,4780 Stege
470,-3 %,85 m²,950.000,925.000,-25.000,708 m²,3, Villa,4780 Stege
471,-9 %,215 m²,2.195.000,1.995.000,-200.000,4.465 m²,5, Villa,4791 Borre
472,-15 %,0 m²,195.000,165.000,-30.000,1.204 m²,0, Fritidsgrund,4792 Askeby
473,-10 %,35 m²,525.000,475.000,-50.000,870 m²,3, Fritidshus,4793 Bogø by
474,-12 %,130 m²,1.695.000,1.495.000,-200.000,3.295 m²,5, Villa,4793 Bogø by
475,-15 %,75 m²,995.000,845.000,-150.000,906 m²,3, Fritidshus,4793 Bogø by
476,-19 %,46 m²,550.000,445.000,-105.000,809 m²,3, Fritidshus,4793 Bogø by
477,-3 %,135 m²,1.695.000,1.650.000,-45.000,159 m²,4, Villa,4800 Nykøbing F.
478,-6 %,101 m²,950.000,895.000,-55.000,102 m²,3, Villa,4800 Nykøbing F.
479,-6 %,125 m²,1.370.000,1.290.000,-80.000,600 m²,6, Villa,4800 Nykøbing F.
480,-11 %,256 m²,1.795.000,1.595.000,-200.000,1.269 m²,8, Villa,4840 Nørre Alslev
481,-10 %,148 m²,775.000,695.000,-80.000,4.212 m²,7, Villa,4840 Nørre Alslev
482,-6 %,86 m²,425.000,399.000,-26.000,193 m²,4, Rækkehus,4850 Stubbekøbing
483,-7 %,156 m²,750.000,695.000,-55.000,1.328 m²,6, Villa,4850 Stubbekøbing
484,-10 %,158 m²,1.995.000,1.795.000,-200.000,436 m²,5, Rækkehus,4862 Guldborg
485,-7 %,70 m²,695.000,645.000,-50.000,1.000 m²,4, Fritidshus,4873 Væggerløse
486,-11 %,40 m²,335.000,299.000,-36.000,1.039 m²,2, Fritidshus,4874 Gedser
487,-10 %,86 m²,525.000,475.000,-50.000,1.196 m²,3, Fritidshus,4874 Gedser
488,-3 %,295 m²,1.395.000,1.350.000,-45.000,2.187 m²,11, Villa,4874 Gedser
489,-5 %,140 m²,2.095.000,1.995.000,-100.000,988 m²,5, Villa,4900 Nakskov
490,-8 %,114 m²,645.000,595.000,-50.000,753 m²,4, Villa,4900 Nakskov
491,-3 %,104 m²,965.000,935.000,-30.000,849 m²,3, Villa,4900 Nakskov
492,-15 %,118 m²,295.000,250.000,-45.000,306 m²,5, Villa,4900 Nakskov
493,-7 %,84 m²,675.000,625.000,-50.000,0 m²,3, Ejerlejlighed,4930 Maribo
494,-5 %,112 m²,845.000,799.000,-46.000,737 m²,4, Villa,4930 Maribo
495,-7 %,132 m²,1.495.000,1.395.000,-100.000,718 m²,6, Villa,4930 Maribo
496,-5 %,155 m²,1.345.000,1.275.000,-70.000,595 m²,6, Villa,4930 Maribo
497,-10 %,53 m²,500.000,450.000,-50.000,1.000 m²,4, Fritidshus,4942 Askø
498,-23 %,150 m²,195.000,150.000,-45.000,1.651 m²,4, Villa,4943 Torrig L
499,-4 %,127 m²,965.000,925.000,-40.000,1.167 m²,4, Villa,4951 Nørreballe
500,-13 %,388 m²,2.295.000,1.995.000,-300.000,3.288 m²,9, Villa,4960 Holeby
501,-13 %,133 m²,395.000,345.000,-50.000,892 m²,4, Villa,4960 Holeby
502,-4 %,88 m²,825.000,795.000,-30.000,1.663 m²,4, Fritidshus,4970 Rødby
503,-17 %,64 m²,595.000,495.000,-100.000,1.200 m²,3, Fritidshus,4970 Rødby
504,-9 %,71 m²,495.000,450.000,-45.000,442 m²,2, Villa,4970 Rødby
505,-2 %,60 m²,487.000,479.000,-8.000,815 m²,3, Villa,4970 Rødby
506,-3 %,46 m²,460.000,445.000,-15.000,60 m²,3, Fritidshus,4970 Rødby
507,-11 %,65 m²,395.000,350.000,-45.000,1.020 m²,4, Fritidshus,4970 Rødby
508,-14 %,103 m²,345.000,295.000,-50.000,789 m²,4, Villa,4970 Rødby
509,-20 %,111 m²,375.000,299.000,-76.000,1.071 m²,4, Villa,4970 Rødby
510,-8 %,47 m²,570.000,525.000,-45.000,91 m²,2, Fritidshus,4970 Rødby
511,-21 %,324 m²,1.895.000,1.495.000,-400.000,6.526 m²,8, Villa,4970 Rødby
512,-4 %,102 m²,1.295.000,1.249.000,-46.000,954 m²,3, Fritidshus,4983 Dannemare
513,-10 %,252 m²,1.000.000,900.000,-100.000,419 m²,1, Villa,4990 Sakskøbing
514,-8 %,176 m²,1.295.000,1.195.000,-100.000,1.795 m²,6, Villa,4990 Sakskøbing
515,-2 %,56 m²,1.185.000,1.165.000,-20.000,0 m²,2, Ejerlejlighed,5000 Odense C
516,-4 %,68 m²,1.145.000,1.095.000,-50.000,0 m²,2, Ejerlejlighed,5000 Odense C
517,-7 %,118 m²,2.995.000,2.795.000,-200.000,346 m²,3, Villa,5000 Odense C
518,-4 %,78 m²,1.245.000,1.195.000,-50.000,126 m²,4, Rækkehus,5210 Odense NV
519,-7 %,131 m²,1.395.000,1.299.000,-96.000,888 m²,4, Villa,5220 Odense SØ
520,-8 %,154 m²,4.345.000,3.995.000,-350.000,532 m²,5, Villa,5230 Odense M
521,-2 %,160 m²,4.095.000,3.995.000,-100.000,519 m²,5, Villa,5230 Odense M
522,-4 %,138 m²,2.395.000,2.295.000,-100.000,642 m²,5, Villa,5230 Odense M
523,-4 %,157 m²,3.650.000,3.498.000,-152.000,560 m²,5, Villa,5230 Odense M
524,-5 %,126 m²,2.095.000,1.995.000,-100.000,993 m²,3, Villa,5240 Odense NØ
525,-6 %,182 m²,2.650.000,2.495.000,-155.000,798 m²,5, Villa,5240 Odense NØ
526,-4 %,103 m²,1.395.000,1.345.000,-50.000,347 m²,4, Rækkehus,5250 Odense SV
527,-3 %,151 m²,3.295.000,3.195.000,-100.000,763 m²,5, Villa,5250 Odense SV
528,-7 %,81 m²,1.495.000,1.395.000,-100.000,0 m²,4, Villalejlighed,5250 Odense SV
529,-3 %,105 m²,2.895.000,2.795.000,-100.000,629 m²,5, Villa,5250 Odense SV
530,-4 %,133 m²,2.395.000,2.299.000,-96.000,671 m²,6, Villa,5250 Odense SV
531,-9 %,124 m²,1.095.000,995.000,-100.000,736 m²,4, Villa,5260 Odense S
532,-9 %,150 m²,2.195.000,1.995.000,-200.000,794 m²,6, Villa,5260 Odense S
533,-3 %,106 m²,1.485.000,1.435.000,-50.000,586 m²,4, Rækkehus,5260 Odense S
534,-2 %,115 m²,1.845.000,1.800.000,-45.000,915 m²,4, Villa,5260 Odense S
535,-4 %,80 m²,1.250.000,1.195.000,-55.000,310 m²,3, Rækkehus,5270 Odense N
536,-9 %,145 m²,1.648.000,1.498.000,-150.000,1.364 m²,4, Villa,5290 Marslev
537,-3 %,52 m²,1.750.000,1.695.000,-55.000,446 m²,3, Fritidshus,5300 Kerteminde
538,-9 %,166 m²,1.750.000,1.595.000,-155.000,210 m²,5, Villa,5300 Kerteminde
539,-1 %,98 m²,978.000,968.000,-10.000,302 m²,4, Rækkehus,5330 Munkebo
540,-3 %,170 m²,1.795.000,1.745.000,-50.000,1.054 m²,6, Villa,5330 Munkebo
541,-4 %,136 m²,1.550.000,1.495.000,-55.000,851 m²,5, Villa,5330 Munkebo
