CarName;HK;KM;KmPerLiter;KMT;Price;Year
VW Golf VI 1.6 TDi...Motion 5d;105;120.0;26.3;11.3;114900;2012
Audi A6 2.0 TDi 17...ltitr. 5d;170;188.0;16.9;9.2;159900;2010
BMW 320d 2.0  4d;177;52.0;20.8;7.9;199900;2010
Ford C0MAX 1.5 TDC...tanium 5d;120;9.0;24.4;11.3;244900;2017
Mercedes E200 2.0 ...t aut. 2d;184;50.0;16.1;8.2;614900;2016
Kia Rio 1.4 CRDi 9...ction+ 5d;90;2.0;26.3;14.2;164900;2016
Audi SQ5 3.0 TDi 3...Tiptr. 5d;313;50.0;14.7;5.1;789900;2015
BMW 530d 3.0 aut. 4d;265;7.0;22.2;5.7;895000;2017
Renault Megane IV ...Zen ST 5d;100;10.0;18.5;12.6;209900;2017
Opel Corsa 1.3 CDT... Enjoy 5d;95;20.0;29.4;11.9;139900;2016
Kia Venga 1.4 CRDi...ashion 5d;90;120.0;22.2;14.5;79900;2010
Peugeot 5008 1.6 T...remium 5d;156;109.0;14.1;10.5;139600;2011
Audi A4 2.0 TDi 17...ltitr. 5d;177;119.0;20.4;8.1;259900;2013
Skoda Octavia 1.8 ... Combi 5d;160;142.0;14.5;7.9;79900;2010
Volvo V60 2.0 D4 1...rive0E 5d;181;155.0;26.3;7.6;249900;2015
Skoda Octavia 2.0 ...bi DSG 5d;184;140.0;20;8.3;299900;2014
Citroxebn C4 Airc...uction 5d;150;80.0;18.5;10.8;179900;2012
Ford Mondeo 2.0 TD...r aut. 5d;163;108.0;19.2;9.8;229900;2014
Peugeot 208 1.2 VT...Motion 5d;82;60.0;22.2;12.2;94900;2014
Hyundai ix20 1.4 Life 5d;90;5.0;17.9;12.8;139900;2016
BMW 330i 2.0 aut. 4d;252;19.0;18.2;5.8;459900;2016
Opel Insignia 2.8 ...t. 4x4 5d;325;176.0;9.1;6.6;269900;2012
VW Tiguan 2.0 TDi ...SG BMT 5d;150;50.0;20.8;9.3;389900;2017
Toyota Prius 1.8 H...H3 CVT 5d;122;11.0;0;10.6;329900;2017
VW Polo 1.4 TDi 75...Motion 5d;75;89.0;32.3;12.9;119900;2015
Kia Ceed 1.6 CRDi ...ive SW 5d;90;117.0;22.2;14.00;89900;2011
Seat Leon 1.0 TSi ... Style 5d;115;8.0;23.3;9.6;194900;2016
Ford Fiesta 1.5 TD...tanium 5d;95;26.0;27.8;11.7;149800;2016
Peugeot 308 1.6 TH...remium 5d;150;173.0;14.1;8.8;64900;2008
BMW 525d 3.0 Touri...teptr. 5d;197;310.0;15.2;7.9;154900;2008
Skoda Fabia 1.0 TS...bi DSG 5d;110;7.0;21.7;9.9;184900;2018
Dacia Sandero Step...estige 5d;90;20.0;19.6;11.1;129900;2016
Peugeot RCZ 1.6 THP 156 2d;156;87.0;14.9;8.3;199900;2011
Hyundai i40 1.7 CR...5 Life 4d;115;8.0;23.8;12.4;209900;2016
VW Sharan 2.0 TDi ...SG BMT 5d;140;95.0;17.5;10.9;319900;2012
Audi A4 2.0 TFSi 1... Avant 5d;180;150.0;15.2;8.1;150000;2010
Volvo XC60 2.4 D3 ...t. AWD 5d;163;108.0;14.7;10.3;389900;2012
BMW Z3 3.0i  2d;231;67.0;10.4;6.00;299800;2000
Audi Q5 2.0 TFSi 2...Tiptr. 5d;225;35.0;13.9;7.1;659900;2015
Ford Focus 1.5 TDC...st.car 5d;120;9.0;26.3;10.7;249500;2017
Ford S0MAX 2.0 TDC...S aut. 5d;163;105.0;16.7;10.2;269900;2013
