CarName;HK;KM;KmPerLiter;KMT;Price;Year
Toyota Yaris 1.5 H...H2 CVT 5d;100;14.0;0;12.00;154899;2016
Nissan Qashqai 1.2... Tekna 5d;115;8.0;17.2;10.6;269900;2017
Seat Leon 1.6 TDi ...ST DSG 5d;105;127.0;25.6;11.00;179800;2015
Nissan Qashqai 1.6...nnecta 5d;163;19.0;17.2;9.1;269900;2017
Toyota Yaris 1.5 H...H2 CVT 5d;100;34.0;0;12.00;144900;2016
Renault Grand Scen...10 Zen 5d;110;10.0;25;0;269900;2017
Skoda Rapid 1.4 TS...ce DSG 5d;122;116.0;18.5;9.5;149900;2013
VW Touran 2.0 TDi ...T 7prs 5d;140;81.0;20.8;9.9;244900;2015
VW Golf VII 1.4 TS...i. BMT 5d;122;53.0;18.9;9.7;199900;2015
Fiat 500C 1.2 Bella 2d;69;74.0;21.3;12.9;94900;2013
Ford Focus 1.6 TDC...st.car 5d;115;157.0;23.8;11.00;114500;2011
Audi A3 1.4 TFSi 1...ion SB 5d;122;97.0;18.9;9.5;184900;2014
VW Passat 1.8 TSi ...ariant 5d;160;89.0;14.5;8.7;184800;2011
VW Caravelle 2.0 T... DSG kort;204;12.0;16.1;0;719900;2017
Suzuki Vitara 1.6 ...omfort 5d;120;48.0;18.9;11.5;164900;2015
Opel Tigra 1.4 Sport 2d;90;66.0;16.4;12.4;64900;2005
Porsche Macan Turb....6 PDK 5d;400;18.0;10.9;4.8;0;2014
Ford Transit Custo... Ambiente;105;6.0;16.4;0;449900;2017
Renault Talisman 1...Zen ST 5d;110;16.0;27;12.2;269500;2017
Audi A6 3.0 TDi 31...Tiptr. 4d;313;119.0;15.6;5.1;549800;2013
Citroxebn C1 1.0i...n Clim 5d;68;45.0;22.2;13.7;59900;2013
Toyota Avensis 2.0...st.car 5d;124;101.0;21.7;10.00;169900;2013
Kia Optima 2.0 GDi...W aut. 5d;205;0.0;0;9.7;0;2018
Hyundai i30 1.6 CR...SG Eco 5d;110;83.0;27;11.5;124700;2014
Mercedes CLA180 1.6  4d;122;56.0;18.5;9.3;299900;2014
Skoda Octavia 1.4 ...ce DSG 5d;122;104.0;15.9;9.7;134900;2010
Volvo XC90 2.4 D5 ...D 7prs 5d;185;428.0;11.1;10.9;159800;2006
VW Passat 2.0 TDi ...DSG BM 5d;140;99.0;19.2;10.00;239800;2013
Mazda 6 2.2 Sky0D ...n aut. 4d;150;127.0;20.8;9.8;189900;2014
Suzuki Swift 1.2 D...Action 5d;90;0.0;23.3;11.9;141900;2017
Hyundai i40 1.7 CR...CW ISG 5d;115;99.0;23.3;12.9;0;2013
Ford Transit Custo... Ambiente;105;6.0;16.4;0;419900;2016
Nissan Qashqai 1.2... Visia 5d;115;36.0;17.9;11.3;199900;2014
Ford Fiesta 1.0 SC...tanium 5d;100;52.0;23.3;12.2;109900;2014
Ford Focus 1.6 Ti0... Trend 5d;105;51.0;16.9;12.3;112500;2012
Suzuki Baleno 1.2 ...Active 5d;90;10.0;23.8;12.3;129900;2016
Kia Venga 1.4 CVVT...Active 5d;90;46.0;16.9;12.9;104900;2011
BMW 320d 2.0 Touri...teptr. 5d;163;260.0;14.5;8.8;109900;2007
Citroxebn C3 1.6 ...aganza 5d;75;8.0;31.3;14.1;132900;2017
Skoda Fabia 1.2 TS... Style 5d;90;9.0;21.3;10.9;149900;2016
Citroxebn Grand C...e ETG6 5d;115;45.0;25;12.6;239900;2013
Ford C0MAX 1.0 SCT...tanium 5d;100;29.0;19.6;12.6;174900;2014
Mazda 6 2.2 Sky0D ...siness 4d;150;25.0;25.6;9.00;239800;2016
VW Passat 2.0 TDi ...DSG BM 5d;140;103.0;19.2;10.00;239800;2013
Opel Meriva 1.4 T ... Cosmo 5d;120;97.0;16.4;11.5;109900;2011
Ford Galaxy 2.0 TD.... 7prs 5d;140;232.0;13.9;10.5;129600;2009
Mercedes C250 2.2 ...ut. BE 5d;204;200.0;17.2;7.2;249800;2010
Audi A6 2.0 TDi 19... S0tr. 5d;190;150.0;22.7;8.5;414800;2015
Ford Kuga 2.0 TDCi...t. AWD 5d;180;59.0;19.2;10.4;329900;2016
VW Passat 1.8 TSi ...nt DSG 5d;180;9.0;17.2;8.1;439900;2017
Renault Kadjar 1.5...10 Zen 5d;110;6.0;26.3;11.9;239900;2016
BMW 330d 3.0 Coup...teptr. 2d;245;172.0;16.1;6.1;259900;2009
VW Touran 1.6 TDi ...T 7prs 5d;105;169.0;21.7;12.8;179900;2015
Ford Focus 1.0 SCT...ar ECO 5d;100;95.0;20.4;12.7;129700;2012
Renault Kadjar 1.5...10 Zen 5d;110;13.0;26.3;11.9;244900;2017
Renault Kadjar 1.5...10 Zen 5d;110;5.0;26.3;11.9;239900;2016
Citroxebn C5 2.0 ...Tourer 5d;140;205.0;16.9;12.1;89800;2010
Renault Grand Scen...30 Zen 5d;130;13.0;16.4;11.4;259900;2017
Renault Kadjar 1.5...10 Zen 5d;110;5.0;26.3;11.9;239900;2016
Renault Clio IV 1....T0Line 5d;120;1.0;18.9;0;169900;2017
Ford Mondeo 1.6 TD...ar ECO 5d;115;122.0;23.8;11.2;159900;2014
Citroxebn Grand C...ensive 5d;150;10.0;25.6;9.8;259700;2015
Peugeot 308 1.6 TH...remium 5d;150;117.0;14.1;8.8;74900;2009
Volvo V70 2.0 D4 1...m aut. 5d;181;140.0;22.2;8.6;309900;2014
Mercedes C300 2.0 ...t aut. 2d;245;10.0;14.9;6.4;779900;2017
Renault Kadjar 1.5...10 Zen 5d;110;8.0;26.3;11.9;239900;2016
Porsche 911 GT3 4....upxe9 2d;500;8.0;7.9;3.9;1200000;2018
Peugeot 308 1.6 HD...omfort 5d;90;118.0;22.2;11.5;59900;2008
Hyundai i40 1.6 GD...ife CW 5d;135;14.0;16.4;11.5;204000;2016
VW Golf VII 1.4 TS...ariant 5d;125;26.0;18.9;9.5;249900;2017
BMW 114i 1.6  5d;102;11.0;18.2;11.2;0;2014
BMW M135i 3.0 xDri...e aut. 5d;320;66.0;12.8;4.7;529900;2014
Renault Kadjar 1.5...10 Zen 5d;110;4.0;26.3;11.9;239900;2016
Renault Kadjar 1.5...10 Zen 5d;110;4.0;26.3;11.9;239900;2016
VW Passat 1.4 TSi ...i. BMT 5d;122;96.0;16.4;10.6;169900;2011
BMW 520d 2.0 Touri...g aut. 5d;190;130.0;22.2;8.00;369900;2014
VW Passat 2.0 TDi ...SG BMT 5d;140;96.0;19.2;10.00;299900;2015
Renault Kadjar 1.5...10 Zen 5d;110;6.0;26.3;11.9;239900;2016
Nissan Micra 1.2 D...Acenta 5d;98;81.0;23.3;11.3;99500;2015
VW Golf VI 1.6 TDi...nt BMT 5d;105;199.0;23.8;11.9;96900;2011
Kia Ceed 1.6 GDi A...ve+ SW 5d;135;47.0;16.9;10.2;159800;2013
Peugeot 208 1.6 Bl...vy Sky 5d;100;14.0;33.3;10.7;124500;2016
Audi A4 2.4 V6 Cabriolet 2d;170;160.0;10.3;9.7;115900;2002
Peugeot 208 1.2 VT...re Sky 5d;82;17.0;22.2;12.2;124900;2015
Ford Focus 2.0 TDC...m aut. 5d;163;91.0;18.9;8.9;169500;2011
BMW 320d 2.0 Gran ...o aut. 5d;184;163.0;20.4;7.9;349800;2014
Ford S0MAX 2.0 TDC.... 7prs 5d;150;6.0;20;10.8;399900;2017
Renault Kadjar 1.5...10 Zen 5d;110;6.0;26.3;11.9;239900;2016
VW Passat 2.0 TDi ...DSG BM 5d;140;95.0;19.2;10.00;259800;2014
Kia Optima 2.0 GDi...W aut. 5d;205;0.0;0;9.7;0;2018
Audi A3 1.6 TDi 11... S0tr. 4d;110;15.0;26.3;10.7;289900;2017
VW Touran 1.4 TSi ...rtline 5d;140;109.0;14.7;9.5;199900;2012
Audi A6 2.0 TDi 17...ltitr. 5d;177;56.0;19.6;8.5;374900;2014
Renault Kadjar 1.5...10 Zen 5d;110;5.0;26.3;11.9;239900;2016
Toyota Auris 1.8 H...TS CVT 5d;136;20.0;0;11.2;219800;2016
VW Touareg 3.0 V6 ...t. BMT 5d;245;29.0;13.9;7.6;699900;2014
VW Polo 1.4 TSi 15...GT DSG 5d;150;6.0;21.3;7.8;228900;2017
Renault Kadjar 1.5...10 Zen 5d;110;4.0;26.3;11.9;239900;2016
Opel Astra 1.4 T 1...joy ST 5d;140;65.0;16.4;10.5;134800;2012
BMW 318d 2.0 aut. 4d;143;69.0;23.3;9.2;279900;2014
Skoda Fabia 1.6 TD... Combi 5d;90;163.0;23.8;12.6;84900;2013
Mercedes C220 2.2 ...ut. BE 5d;170;80.0;19.2;8.3;314900;2013
BMW X1 2.0 sDrive2...i aut. 5d;192;4.0;16.9;7.7;425000;2016
Peugeot 208 1.6 Bl...Spirit 5d;100;7.0;33.3;10.7;124900;2017
Peugeot 508 2.0 Bl...Allure 4d;150;89.0;24.4;8.9;249900;2015
BMW 316d 2.0 Touri...g aut. 5d;116;78.0;22.2;11.1;279900;2014
Seat Leon 1.6 TDi ...erence 5d;105;123.0;23.8;11.7;99900;2011
Suzuki Baleno 1.2 ...e SHVS 5d;90;2.0;0;12.3;154900;2016
VW Passat 2.0 TDi ...DSG BM 5d;140;94.0;19.2;10.00;239800;2014
Fiat 500 1.2 Pop 3d;69;38.0;19.6;12.9;64900;2008
Renault Kadjar 1.5...10 Zen 5d;110;3.0;26.3;11.9;239900;2016
Hyundai i40 1.7 CR...nd DCT 4d;141;5.0;21.7;10.8;289800;2017
Fiat 500C 0.9 Twin...opstar 2d;80;7.0;26.3;11.00;124700;2017
Mercedes AMG GT S ...0 aut. 2d;510;36.0;10.6;3.8;2399900;2017
Renault Kadjar 1.5...10 Zen 5d;110;7.0;26.3;11.9;239900;2016
Toyota Avensis 1.8... Touch 4d;147;100.0;15.2;10.4;189900;2012
Kia Ceed 1.4 CRDi ...ve+ SW 5d;90;84.0;23.8;13.9;117900;2013
Suzuki S0Cross 1.0...Active 5d;112;9.0;20;11.00;209900;2016
Mazda CX07 2.2 DE ... Sport 5d;173;198.0;13.3;11.3;169900;2012
Audi A1 1.6 TDi 90...ion SB 5d;90;65.0;26.3;11.6;149900;2014
Nissan Qashqai 1.6... X0tr. 5d;130;14.0;21.3;11.1;319900;2017
Hyundai i10 1.2 Comfort 5d;86;38.0;21.7;12.3;49800;2011
Renault Kadjar 1.5...10 Zen 5d;110;3.0;26.3;11.9;239900;2016
Seat Altea XL 1.6 ...le eco 5d;105;91.0;22.2;12.4;129990;2011
Ford Focus 1.0 SCT...st.car 5d;125;20.0;20.8;11.2;209900;2017
Opel Insignia 2.0 ...T aut. 5d;160;139.0;16.9;10.1;149900;2012
Audi Q5 2.0 TDi 17...uattro 5d;177;81.0;16.9;9.00;374900;2014
Ford Fiesta 1.0 SC...tanium 5d;140;7.0;22.2;9.00;149900;2017
Nissan Pulsar 1.2 ...Acenta 5d;115;28.0;20;10.7;159800;2014
Mini One 1.6 D 90 3d;90;78.0;26.3;11.4;139900;2012
Suzuki S0Cross 1.0...Active 5d;112;3.0;20;11.00;209900;2017
VW Touran 1.6 TDi ...ne BMT 5d;110;34.0;22.7;11.9;289800;2016
Suzuki Baleno 1.0 ...Active 5d;112;8.0;22.2;11.4;152900;2016
Ford Fiesta 1.4 Titanium 5d;96;82.0;17.2;12.2;84800;2011
Audi A1 1.6 TDi 90... S0tr. 5d;90;28.0;23.8;11.6;219900;2014
Audi A6 2.0 TDi 17...ltitr. 5d;177;83.0;19.6;8.5;359900;2014
Opel Meriva 1.4 16...sentia 5d;90;124.0;15.6;13.8;44900;2006
Volvo V60 1.6 DRIV...m aut. 5d;115;110.0;22.2;12.7;199900;2012
Renault Kadjar 1.5...10 Zen 5d;110;4.0;26.3;11.9;239900;2016
Opel Astra 1.7 CDT...oy eco 5d;130;110.0;27;11.2;114800;2013
Skoda Octavia 1.6 ...egance 5d;105;151.0;22.2;11.8;119900;2012
Toyota Aygo 1.0 VV...&White 5d;68;40.0;23.3;14.2;69900;2014
Opel Vectra 1.8 16...egance 4d;122;228.0;13.2;11.2;19900;2003
BMW 320d 2.0 Gran ...urismo 5d;184;144.0;20.4;8.00;264900;2014
VW Arteon 2.0 TSi ...DSG 4M 4d;280;6.0;13.7;5.6;729900;2018
Suzuki Vitara 1.6 ...e aut. 5d;120;6.0;18.2;12.00;229900;2015
Audi A6 2.0 TDi 19... S0tr. 5d;190;88.0;21.7;8.5;374000;2014
Skoda Rapid 1.0 TS...on DSG 5d;95;2.0;21.7;11.3;199900;2018
VW Tiguan 2.0 TDi ...DSG 4M 5d;140;54.0;16.7;10.2;329900;2014
Renault Scenic IV ...10 Zen 5d;110;4.0;25.6;12.4;249900;2017
Volvo V40 2.0 D3 1...inetic 5d;150;83.0;23.3;9.6;199900;2013
Chevrolet Spark 1....S Beat 5d;68;127.0;20;15.5;34999;2010
Hyundai i30 1.6 CR... Life+ 5d;110;8.0;27.8;11.1;204700;2017
Hyundai i30 1.6 CR... Life+ 5d;110;8.0;27.8;11.1;204700;2017
Mercedes SLK200 1..... aut. 2d;184;122.0;12.5;7.9;339900;2010
Kia Ceed 1.6 GDi F...ily SW 5d;135;75.0;16.9;10.2;149800;2014
VW Polo 1.2 TSi 90...ne BMT 5d;90;33.0;21.3;10.8;142900;2015
Mini Clubman Coope...S 1.6  5d;175;111.0;15.9;7.6;144800;2008
Nissan Juke 1.5 dC...Acenta 5d;110;198.0;19.6;11.2;99900;2011
Fiat Punto 0.9 Twi...opstar 5d;100;25.0;26.3;12.7;109900;2015
Kia Ceed 1.4 CRDi ...ctive+ 5d;90;125.0;25;13.5;119700;2013
Audi A6 2.0 TDi 17...ltitr. 4d;177;158.0;20;8.2;299900;2014
Fiat 500 1.2 by Gucci 3d;69;84.0;20.8;12.9;84900;2011
Audi A4 2.0 TDi 13... Avant 5d;136;205.0;20.8;9.7;149900;2011
Renault Kadjar 1.5...10 Zen 5d;110;4.0;26.3;11.9;239900;2016
Renault Megane II ...st.car 5d;115;215.0;14.5;11.3;19900;2003
Skoda Octavia 1.6 ...bi DSG 5d;115;5.0;25.6;10.3;269900;2018
Audi A5 2.0 TDi 13...tra SB 5d;136;106.0;23.8;9.5;274900;2015
VW Passat 1.8 TSi ...i. DSG 5d;180;10.0;17.2;8.1;379900;2017
VW Passat 1.6 TDi ...i. BMT 5d;105;182.0;22.7;12.5;154999;2013
Honda Civic 1.8 i0...Tourer 5d;142;28.0;16.1;9.2;179900;2015
Fiat 500 0.9 TwinA...Lounge 3d;80;4.0;26.3;11.00;119700;2017
Ford Fiesta 1.0 SC...nium X 5d;100;20.0;23.3;12.2;134900;2015
Opel Crossland X 1...vation 5d;81;5.0;19.6;14.00;199900;2017
Renault Kadjar 1.5...10 Zen 5d;110;6.0;26.3;11.9;239900;2016
VW Golf VII 2.0 TD...SG BMT 5d;150;105.0;22.2;8.6;199900;2013
VW Touran 2.0 TDi ...T 7prs 5d;140;101.0;20.8;9.9;219900;2014
Fiat Grande Punto ...ynamic 5d;77;168.0;16.9;13.2;35900;2008
Skoda Superb 2.0 T...bi DSG 5d;140;98.0;16.7;10.8;209900;2012
VW Polo 1.2 TSi 90...ne BMT 5d;90;6.0;21.3;10.8;157900;2017
Skoda Superb 1.6 T...reenLi 5d;105;169.0;22.7;12.6;169600;2012
Ford Mondeo 1.5 SC...r aut. 5d;160;10.0;15.4;9.2;329900;2017
Renault Grand Scen.... 7prs 5d;135;227.0;12.2;10.9;49900;2006
Bentley Continenta...d aut. 2d;625;55.0;6.7;4.4;2695900;2014
Renault Kadjar 1.5...10 Zen 5d;110;8.0;26.3;11.9;239900;2016
BMW 320d 2.0 Touri...g aut. 5d;190;66.0;24.4;7.4;329900;2016
Hyundai i30 1.6 CR...remium 5d;110;4.0;26.3;11.00;234900;2017
Ford C0MAX 1.5 TDC...siness 5d;120;9.0;24.4;11.3;239900;2016
Mercedes CLA200 1.... rban 4d;156;54.0;18.2;8.6;279900;2014
Kia Pro0Ceed 1.0 T...T0Line 3d;120;4.0;20.4;11.1;199800;2016
Renault Kadjar 1.5...10 Zen 5d;110;8.0;26.3;11.9;239900;2016
BMW 318d 2.0 Gran ...o aut. 5d;143;117.0;20.8;9.6;299800;2014
VW Golf VII 1.6 TD...ar BMT 5d;110;41.0;26.3;10.5;224800;2017
Honda Civic 1.8 i0... Sport 5d;142;82.0;16.4;9.7;139700;2013
Ford Fiesta 1.0 SC...00 Fun 5d;100;5.0;23.3;12.2;174900;2016
VW Passat CC 1.8 TSi 4d;160;133.0;13.2;8.6;139900;2008
Hyundai i30 1.6 CR...ctive+ 5d;110;86.0;27.8;11.1;129900;2015
Nissan Juke 1.5 dC...nnecta 5d;110;20.0;25;11.2;189900;2016
Hyundai Tucson 2.0... Trend 5d;136;9.0;20.8;10.6;319800;2017
Mercedes S500 5.0 aut. 4d;306;220.0;8.4;6.5;139900;1999
Opel Insignia 2.8 ...t. 4x4 4d;260;103.0;9.1;7.1;169900;2009
Mercedes E350 3.0 ...r aut. 5d;252;150.0;17.2;6.9;494800;2013
Ford Focus 1.5 TDC...st.car 5d;120;22.0;26.3;10.7;204900;2016
Ford Mondeo 2.0 TD...st.car 5d;140;128.0;18.9;9.8;139900;2012
Skoda Rapid 1.0 TS...bition 5d;110;2.0;21.7;9.8;189900;2018
Hyundai i30 1.6 CR...CW ISG 5d;110;63.0;23.8;11.8;134900;2014
BMW 525d 2.0 aut. 4d;218;123.0;20;7.00;419900;2012
Suzuki S0Cross 1.0...omfort 5d;112;1.0;20;11.00;189900;2018
Citroxebn C4 Pica...ensive 5d;115;99.0;25;11.8;174900;2013
Renault Kadjar 1.5...10 Zen 5d;110;5.0;26.3;11.9;239900;2016
Opel Insignia 1.5 ...T aut. 5d;165;4.0;16.1;9.6;369900;2018
Seat Altea 1.6 TDi...le eco 5d;105;78.0;22.2;12.2;159900;2013
Opel Insignia 2.0 ...ST eco 5d;120;126.0;25.6;12.4;152000;2013
Skoda Octavia 1.4 ...egance 5d;122;125.0;15.9;9.7;109900;2010
Peugeot 2008 1.6 B...re Sky 5d;100;7.0;28.6;11.3;194900;2017
Porsche Cayman S 3.4  2d;295;72.0;9.4;5.4;439900;2006
Opel Insignia 1.6 ...ion ST 5d;180;120.0;12.7;9.3;149800;2010
VW Tiguan 2.0 TDi ...SG BMT 5d;150;12.0;20.8;9.3;429900;2018
Kia Pro0Ceed 1.4 C... Style 3d;100;4.0;17.9;12.7;149800;2016
Ford C0MAX 1.0 SCT...25 Fun 5d;125;11.0;19.6;11.4;229900;2017
Kia Ceed 1.0 T0GDi...lim SW 5d;100;5.0;20;13.1;180000;2016
Kia Ceed 1.6 CRDi ...ted SW 5d;136;13.0;25.6;10.5;234900;2017
Opel Astra 1.4 T 1...ion ST 5d;150;9.0;19.6;8.9;259900;2017
Audi A6 allroad 3.... S0tr. 5d;245;126.0;15.9;6.6;579900;2012
Audi A4 2.0 TDi 15... Avant 5d;150;129.0;21.3;9.5;239900;2013
Kia Pro0Ceed 1.4 C... Style 3d;100;3.0;17.9;12.7;149900;2016
Volvo V90 2.0 D5 2...t. AWD 5d;235;5.0;20.4;7.2;699800;2018
Fiat 500C 1.2 Popstar 2d;69;27.0;21.3;12.9;114900;2014
Citroxebn C3 1.4 Family 5d;75;160.0;16.1;13.6;29900;2006
Hyundai i30 1.6 CR...CW ISG 5d;110;57.0;23.8;11.8;114900;2013
Skoda Octavia 1.2 ... Style 5d;110;31.0;20.4;10.3;209700;2016
Subaru Legacy 2.0 ...on AWD 5d;150;165.0;16.4;9.6;179800;2011
VW Tiguan 2.0 TSi ...DSG 4M 5d;210;75.0;11.9;7.3;339900;2015
Toyota Auris 1.8 H...TS CVT 5d;136;8.0;0;11.2;244900;2017
Mercedes C220 2.2 ...r aut. 5d;170;127.0;22.7;7.6;369800;2015
Opel Insignia 2.0 ...o aut. 4d;160;111.0;16.7;9.6;169900;2011
Skoda Octavia 2.0 ...bi DSG 5d;150;96.0;22.2;8.7;199900;2015
Audi Q3 2.0 TDi 140 5d;140;133.0;19.2;9.9;234900;2014
Audi Q3 2.0 TDi 140 5d;140;133.0;19.2;9.9;234900;2014
BMW X1 2.0 sDrive18d 5d;143;83.0;20.4;9.6;249900;2014
Peugeot 207 1.6 TH...ort CC 2d;150;117.0;13.9;8.6;84900;2007
Renault Kadjar 1.5...10 Zen 5d;110;6.0;26.3;11.9;239900;2016
Renault Clio IV 0....ession 5d;90;148.0;22.2;12.2;74900;2012
Kia Rio 1.4 CRDi 9...Active 5d;90;81.0;26.3;14.2;99700;2012
Renault Kadjar 1.5...10 Zen 5d;110;2.0;26.3;11.9;239900;2016
Hyundai i30 1.6 CR...st.car 5d;110;13.0;26.3;11.3;244900;2017
Hyundai Tucson 2.0... Trend 5d;136;10.0;20.8;10.6;299900;2017
Mercedes E220 2.2 ...G aut. 4d;170;91.0;20.4;8.4;459900;2014
Ford Focus 1.0 SCT...st.car 5d;125;20.0;20.8;11.2;214900;2017
VW Polo 1.2 TSi 90...ne BMT 5d;90;40.0;21.3;10.8;147900;2017
Volvo XC60 2.4 D5 ...t. AWD 5d;215;122.0;15.6;8.3;449900;2014
Kia Ceed 1.6 CRDi ...ive SW 5d;115;76.0;22.2;11.7;84900;2010
Jeep Wrangler nli...a aut. 4d;200;129.0;11.4;10.7;159900;2011
Renault Kadjar 1.5...10 Zen 5d;110;7.0;26.3;11.9;239900;2016
VW Golf Sportsvan ...rtline 5d;125;11.0;17.9;9.9;269900;2015
Audi A3 1.6 TDi Ambiente 4d;105;33.0;26.3;10.9;239900;2014
VW Polo 1.2 TSi 90...fe DSG 5d;90;48.0;18.9;10.9;159800;2014
Ford Focus 1.6 TDC...st.car 5d;115;150.0;23.8;11.00;124800;2012
VW Passat 1.6 TDi ...ne BMT 4d;105;181.0;23.3;12.2;123900;2011
Audi A6 2.0 TDi 19... S0tr. 5d;190;72.0;21.7;8.5;409900;2014
Mazda 6 2.0 Sky0G ...r aut. 5d;165;128.0;16.7;10.2;219900;2013
Fiat Panda 0.9 Twi...Lounge 5d;85;89.0;23.8;12.00;54800;2012
Audi R8 4.2 FSi Co... R0tr. 2d;420;70.0;7.5;4.6;879900;2009
Suzuki S0Cross 1.6...Active 5d;120;8.0;23.8;12.00;209900;2015
BMW 118d 2.0  5d;150;51.0;24.4;8.3;239900;2015
Skoda Rapid 1.0 TS...bition 5d;110;5.0;21.7;9.8;194900;2018
Mercedes E220 d 2....e aut. 4d;194;33.0;23.3;7.3;699900;2017
VW Polo 1.6 TDi 90...ne BMT 5d;90;70.0;27;11.5;119900;2012
Kia Rio 1.2 CVVT Active 5d;86;76.0;21.3;13.1;79900;2013
Citroxebn Grand C...R+ E6G 5d;143;228.0;12.5;11.5;44900;2007
Audi A3 2.0 TDi 18.... S0tr 5d;184;94.0;20.4;6.9;329900;2015
Mazda 2 1.3 84 Tak...dition 5d;84;53.0;20;13.6;79900;2011
Audi A6 allroad 3.... S0tr. 5d;218;61.0;17.9;7.3;649900;2015
Toyota Verso 1.8 V...m 7prs 5d;147;10.0;14.9;10.4;269900;2016
Hyundai i30 1.6 CR... Life+ 5d;110;8.0;27;11.00;204700;2017
Skoda Fabia 1.4 TD... Combi 5d;105;29.0;27;10.2;159900;2016
Fiat 500 0.9 TwinA...Lounge 3d;80;3.0;26.3;11.00;129800;2017
VW Golf VII 1.4 TS...ne DSG 5d;125;14.0;19.6;9.1;259800;2018
BMW 318d 2.0 Tou0 5d;143;79.0;22.2;9.2;246900;2013
Mercedes C220 2.2 ...lueTEC 4d;170;128.0;25;8.1;272000;2014
Toyota Avensis 1.8... Touch 5d;147;52.0;15.2;9.7;184900;2012
Fiat 500 0.9 TwinAir 85 3d;85;78.0;24.4;11.00;64900;2011
VW p! 1.0 TSi 90 ...p! BMT 5d;90;2.0;22.7;9.9;164900;2017
Fiat 500 1.2 Lounge 3d;69;80.0;20.8;12.9;84900;2014
Kia Ceed 1.6 CRDi ...ive SW 5d;115;128.0;22.2;11.7;79900;2011
VW Golf VII 1.6 TD...le BMT 5d;110;38.0;26.3;10.5;217000;2016
BMW 320i 2.0 Touri...g aut. 5d;184;79.0;16.4;7.5;307000;2013
Ford B0MAX 1.0 SCT...tanium 5d;120;47.0;20.4;11.2;149000;2013
Skoda Fabia 1.2 TD...bition 5d;75;147.0;25.6;14.2;69900;2012
Citroxebn C4 1.6 ...R Pack 5d;150;129.0;14.5;9.2;69900;2009
Opel Insignia 2.0 ...ST eco 5d;140;128.0;25.6;11.00;174900;2014
VW Touran 1.6 TDi ...ne BMT 5d;110;27.0;22.7;11.9;349900;2016
Audi A4 2.0 TDi 13...S0line 4d;136;207.0;22.2;9.5;209900;2014
Ford Focus 1.0 SCT...tanium 5d;125;17.0;21.3;11.00;199800;2017
Citroxebn C5 2.0i...eekend 5d;138;327.0;11.9;11.00;9000;2003
Skoda Superb 2.0 T...bition 5d;140;153.0;16.9;10.2;109900;2008
Opel Meriva 1.3 CD... Enjoy 5d;75;122.0;20.4;16.9;89900;2011
VW Touran 1.6 TDi ...ne BMT 5d;110;41.0;22.7;11.9;319900;2016
Suzuki Swift 1.2 D...t Club 5d;90;48.0;22.7;12.3;129900;2015
Hyundai i30 1.4 T0...nd DCT 5d;140;6.0;18.2;9.2;239700;2017
VW Golf VI 1.4 TSi...et DSG 2d;160;85.0;15.9;8.4;224900;2012
Skoda Rapid 1.2 TS...ort SB 5d;105;37.0;19.6;10.2;139900;2015
Mercedes ML320 3.0...t. 40M 5d;224;295.0;10.4;8.6;209800;2009
VW Passat 2.0 TDi ...i. BMT 5d;140;109.0;21.7;10.00;179900;2012
Renault Captur 1.2...ns EDC 5d;120;17.0;18.2;10.6;219900;2017
BMW 435i 3.0 Coup...9 aut. 2d;306;18.0;13.9;5.1;569900;2014
Seat Leon 1.2 TSi ...nce ST 5d;86;69.0;19.2;12.1;159900;2014
Peugeot 5008 2.0 H...e 7prs 5d;150;93.0;18.5;10.00;164900;2012
Nissan Note 1.4 Tekna 5d;88;104.0;16.9;13.1;89800;2012
Hyundai i30 1.4 T0...ar DCT 5d;140;5.0;18.2;9.5;289900;2017
Audi A6 2.0 TDi 19... S0tr. 4d;190;103.0;23.8;8.2;399900;2015
Nissan Qashqai 1.2...nnecta 5d;115;7.0;17.9;11.3;249900;2017
Renault Scenic III...on ESM 5d;110;61.0;24.4;12.5;169900;2014
Mini Cooper 1.5 136 aut. 3d;136;37.0;21.3;7.8;219900;2015
VW Passat 1.4 TSi ...i. DSG 5d;150;18.0;19.6;8.6;319500;2017
VW Golf VII 1.6 TD...DSG BM 5d;105;92.0;25;11.00;199900;2014
Ferrari 575M 5.7 M...anello 2d;515;16.0;4.6;4.3;849800;2004
Audi Q5 2.0 TDi 17... S0tr. 5d;177;77.0;16.4;9.00;447000;2014
VW Jetta 1.6 TDi 1...ne BMT 4d;105;54.0;23.8;11.7;189800;2013
Opel Insignia 2.0 ...ST eco 5d;140;71.0;25.6;11.00;189800;2014
VW Polo 1.4 TSi 15...GT DSG 5d;150;3.0;21.3;7.8;229900;2016
Citroxebn Grand C...k 7prs 5d;110;179.0;17.9;14.5;69800;2009
VW Passat 2.0 TDi ...i. BMT 5d;140;68.0;21.7;10.00;189800;2012
Nissan Leaf  Acenta 5d;109;1.0;0;11.5;199900;2017
Renault Clio IV 0....90 Zen 5d;90;12.0;23.8;0;129900;2017
Audi A4 2.0 TDi 13... Avant 5d;136;158.0;21.3;9.8;209900;2014
Audi A6 3.0 TDi 20... S0tr. 5d;204;44.0;17.2;7.2;529900;2014
Nissan X0Trail 1.6... X0tr. 5d;130;15.0;19.6;11.4;289700;2014
Honda CR0V 1.6 i0D...ce 4WD 5d;160;29.0;20.4;9.6;289900;2015
Honda Civic 1.8 i0...e aut. 5d;142;28.0;15.6;11.4;214900;2016
